frame_num,pmu_id,stream_id,frame_score,normalized_score,rule_severity,classification,final_severity,confidence,assessment,corrupted,rules_triggered,cyber_score,fault_score,disturbance_score,disturbance_raw_score,suspicious_count,dominant_reason
13,1,1,2.47,0.0247,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.94,0.0,8.3,0,Stable stream with no material anomaly indicators
14,1,1,2.64,0.0264,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.28,0.0,8.88,0,Stable stream with no material anomaly indicators
15,1,1,2.35,0.0235,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.7,0.0,7.9,0,Stable stream with no material anomaly indicators
16,1,1,2.9,0.029,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.81,0.0,9.76,0,Stable stream with no material anomaly indicators
17,1,1,2.79,0.0279,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.58,0.0,9.37,0,Stable stream with no material anomaly indicators
18,1,1,2.54,0.0254,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.09,0.0,8.55,0,Stable stream with no material anomaly indicators
19,1,1,2.39,0.0239,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.79,0.0,8.05,0,Stable stream with no material anomaly indicators
20,1,1,2.35,0.0235,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.7,0.0,7.9,0,Stable stream with no material anomaly indicators
21,1,1,2.39,0.0239,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.78,0.0,8.04,0,Stable stream with no material anomaly indicators
22,1,1,2.36,0.0236,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.71,0.0,7.92,0,Stable stream with no material anomaly indicators
23,1,1,2.13,0.0213,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.27,0.0,7.17,0,Stable stream with no material anomaly indicators
24,1,1,2.15,0.0215,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.3,0.0,7.22,0,Stable stream with no material anomaly indicators
25,1,1,2.15,0.0215,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.31,0.0,7.24,0,Stable stream with no material anomaly indicators
26,1,1,2.21,0.0221,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.42,0.0,7.43,0,Stable stream with no material anomaly indicators
27,1,1,2.12,0.0212,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.23,0.0,7.11,0,Stable stream with no material anomaly indicators
28,1,1,2.11,0.0211,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.22,0.0,7.1,0,Stable stream with no material anomaly indicators
29,1,1,2.08,0.0208,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.16,0.0,6.99,0,Stable stream with no material anomaly indicators
30,1,1,2.14,0.0214,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.29,0.0,7.21,0,Stable stream with no material anomaly indicators
31,1,1,2.74,0.0274,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.47,0.0,9.2,0,Stable stream with no material anomaly indicators
32,1,1,2.56,0.0256,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.11,0.0,8.59,0,Stable stream with no material anomaly indicators
33,1,1,2.36,0.0236,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.72,0.0,7.93,0,Stable stream with no material anomaly indicators
34,1,1,2.53,0.0253,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.07,0.0,8.52,0,Stable stream with no material anomaly indicators
35,1,1,2.47,0.0247,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.94,0.0,8.31,0,Stable stream with no material anomaly indicators
36,1,1,2.59,0.0259,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.19,0.0,8.72,0,Stable stream with no material anomaly indicators
37,1,1,2.37,0.0237,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.73,0.0,7.95,0,Stable stream with no material anomaly indicators
38,1,1,2.37,0.0237,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.73,0.0,7.95,0,Stable stream with no material anomaly indicators
39,1,1,2.27,0.0227,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.53,0.0,7.62,0,Stable stream with no material anomaly indicators
40,1,1,2.24,0.0224,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.48,0.0,7.53,0,Stable stream with no material anomaly indicators
41,1,1,2.12,0.0212,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.24,0.0,7.12,0,Stable stream with no material anomaly indicators
42,1,1,2.19,0.0219,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.39,0.0,7.37,0,Stable stream with no material anomaly indicators
43,1,1,2.18,0.0218,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.36,0.0,7.33,0,Stable stream with no material anomaly indicators
44,1,1,2.19,0.0219,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.38,0.0,7.36,0,Stable stream with no material anomaly indicators
45,1,1,2.29,0.0229,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.58,0.0,7.7,0,Stable stream with no material anomaly indicators
46,1,1,2.54,0.0254,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.09,0.0,8.55,0,Stable stream with no material anomaly indicators
47,1,1,2.28,0.0228,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.57,0.0,7.68,0,Stable stream with no material anomaly indicators
48,1,1,2.2,0.022,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.4,0.0,7.39,0,Stable stream with no material anomaly indicators
49,1,1,2.02,0.0202,NORMAL,NORMAL,NORMAL,0.96,NORMAL,False,,0.0,4.03,0.0,6.78,0,Stable stream with no material anomaly indicators
50,1,1,2.14,0.0214,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.27,0.0,7.18,0,Stable stream with no material anomaly indicators
51,1,1,2.57,0.0257,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.15,0.0,8.65,0,Stable stream with no material anomaly indicators
52,1,1,2.62,0.0262,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.23,0.0,8.79,0,Stable stream with no material anomaly indicators
53,1,1,2.39,0.0239,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.77,0.0,8.02,0,Stable stream with no material anomaly indicators
54,1,1,2.28,0.0228,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.56,0.0,7.67,0,Stable stream with no material anomaly indicators
55,1,1,2.26,0.0226,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.52,0.0,7.59,0,Stable stream with no material anomaly indicators
56,1,1,2.8,0.028,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.6,0.0,9.42,0,Stable stream with no material anomaly indicators
57,1,1,2.94,0.0294,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.88,0.0,9.89,0,Stable stream with no material anomaly indicators
58,1,1,2.63,0.0263,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.25,0.0,8.83,0,Stable stream with no material anomaly indicators
59,1,1,2.49,0.0249,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.99,0.0,8.38,0,Stable stream with no material anomaly indicators
60,1,1,2.37,0.0237,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.73,0.0,7.95,0,Stable stream with no material anomaly indicators
61,1,1,2.52,0.0252,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.03,0.0,8.46,0,Stable stream with no material anomaly indicators
62,1,1,2.37,0.0237,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.74,0.0,7.96,0,Stable stream with no material anomaly indicators
63,1,1,2.43,0.0243,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.86,0.0,8.16,0,Stable stream with no material anomaly indicators
64,1,1,2.41,0.0241,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.81,0.0,8.09,0,Stable stream with no material anomaly indicators
65,1,1,2.24,0.0224,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.48,0.0,7.53,0,Stable stream with no material anomaly indicators
66,1,1,2.86,0.0286,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.72,0.0,9.61,0,Stable stream with no material anomaly indicators
67,1,1,2.77,0.0277,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.53,0.0,9.3,0,Stable stream with no material anomaly indicators
68,1,1,2.37,0.0237,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.75,0.0,7.98,0,Stable stream with no material anomaly indicators
69,1,1,2.37,0.0237,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.74,0.0,7.97,0,Stable stream with no material anomaly indicators
70,1,1,2.36,0.0236,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.72,0.0,7.93,0,Stable stream with no material anomaly indicators
71,1,1,2.46,0.0246,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.93,0.0,8.28,0,Stable stream with no material anomaly indicators
72,1,1,2.46,0.0246,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.93,0.0,8.28,0,Stable stream with no material anomaly indicators
73,1,1,2.4,0.024,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.81,0.0,8.08,0,Stable stream with no material anomaly indicators
74,1,1,2.18,0.0218,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.37,0.0,7.34,0,Stable stream with no material anomaly indicators
75,1,1,2.37,0.0237,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.74,0.0,7.96,0,Stable stream with no material anomaly indicators
76,1,1,2.46,0.0246,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.91,0.0,8.26,0,Stable stream with no material anomaly indicators
77,1,1,2.23,0.0223,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.46,0.0,7.49,0,Stable stream with no material anomaly indicators
78,1,1,2.2,0.022,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.4,0.0,7.4,0,Stable stream with no material anomaly indicators
79,1,1,2.27,0.0227,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.53,0.0,7.62,0,Stable stream with no material anomaly indicators
80,1,1,2.32,0.0232,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.64,0.0,7.79,0,Stable stream with no material anomaly indicators
81,1,1,2.89,0.0289,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.77,0.0,9.7,0,Stable stream with no material anomaly indicators
82,1,1,2.66,0.0266,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.31,0.0,8.93,0,Stable stream with no material anomaly indicators
83,1,1,2.42,0.0242,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.84,0.0,8.14,0,Stable stream with no material anomaly indicators
84,1,1,2.43,0.0243,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.87,0.0,8.18,0,Stable stream with no material anomaly indicators
85,1,1,2.4,0.024,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.8,0.0,8.07,0,Stable stream with no material anomaly indicators
86,1,1,2.48,0.0248,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.96,0.0,8.33,0,Stable stream with no material anomaly indicators
87,1,1,2.3,0.023,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.59,0.0,7.72,0,Stable stream with no material anomaly indicators
88,1,1,2.29,0.0229,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.58,0.0,7.7,0,Stable stream with no material anomaly indicators
89,1,1,2.23,0.0223,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.46,0.0,7.49,0,Stable stream with no material anomaly indicators
90,1,1,2.25,0.0225,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.5,0.0,7.57,0,Stable stream with no material anomaly indicators
91,1,1,2.22,0.0222,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.44,0.0,7.47,0,Stable stream with no material anomaly indicators
92,1,1,2.16,0.0216,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.33,0.0,7.27,0,Stable stream with no material anomaly indicators
93,1,1,2.32,0.0232,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.64,0.0,7.8,0,Stable stream with no material anomaly indicators
94,1,1,2.25,0.0225,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.49,0.0,7.55,0,Stable stream with no material anomaly indicators
95,1,1,2.25,0.0225,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.5,0.0,7.56,0,Stable stream with no material anomaly indicators
96,1,1,2.25,0.0225,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.5,0.0,7.57,0,Stable stream with no material anomaly indicators
97,1,1,2.17,0.0217,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.34,0.0,7.3,0,Stable stream with no material anomaly indicators
98,1,1,2.34,0.0234,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.68,0.0,7.86,0,Stable stream with no material anomaly indicators
99,1,1,2.18,0.0218,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.37,0.0,7.34,0,Stable stream with no material anomaly indicators
100,1,1,2.15,0.0215,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.3,0.0,7.23,0,Stable stream with no material anomaly indicators
101,1,1,2.2,0.022,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.4,0.0,7.39,0,Stable stream with no material anomaly indicators
102,1,1,2.29,0.0229,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.58,0.0,7.69,0,Stable stream with no material anomaly indicators
103,1,1,2.27,0.0227,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.54,0.0,7.63,0,Stable stream with no material anomaly indicators
104,1,1,2.28,0.0228,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.55,0.0,7.65,0,Stable stream with no material anomaly indicators
105,1,1,2.28,0.0228,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.56,0.0,7.66,0,Stable stream with no material anomaly indicators
106,1,1,2.34,0.0234,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.68,0.0,7.86,0,Stable stream with no material anomaly indicators
107,1,1,2.24,0.0224,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.48,0.0,7.53,0,Stable stream with no material anomaly indicators
108,1,1,2.21,0.0221,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.43,0.0,7.44,0,Stable stream with no material anomaly indicators
109,1,1,2.26,0.0226,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.53,0.0,7.61,0,Stable stream with no material anomaly indicators
110,1,1,2.24,0.0224,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.49,0.0,7.54,0,Stable stream with no material anomaly indicators
111,1,1,2.47,0.0247,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.94,0.0,8.31,0,Stable stream with no material anomaly indicators
112,1,1,2.24,0.0224,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.49,0.0,7.54,0,Stable stream with no material anomaly indicators
113,1,1,2.28,0.0228,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.57,0.0,7.68,0,Stable stream with no material anomaly indicators
114,1,1,2.16,0.0216,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.33,0.0,7.27,0,Stable stream with no material anomaly indicators
115,1,1,2.16,0.0216,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.32,0.0,7.26,0,Stable stream with no material anomaly indicators
116,1,1,2.25,0.0225,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.5,0.0,7.56,0,Stable stream with no material anomaly indicators
117,1,1,2.19,0.0219,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.38,0.0,7.36,0,Stable stream with no material anomaly indicators
118,1,1,2.1,0.021,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.2,0.0,7.06,0,Stable stream with no material anomaly indicators
119,1,1,2.39,0.0239,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.78,0.0,8.04,0,Stable stream with no material anomaly indicators
120,1,1,2.23,0.0223,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.46,0.0,7.49,0,Stable stream with no material anomaly indicators
121,1,1,2.54,0.0254,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.08,0.0,8.53,0,Stable stream with no material anomaly indicators
122,1,1,2.48,0.0248,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.97,0.0,8.35,0,Stable stream with no material anomaly indicators
123,1,1,2.29,0.0229,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.59,0.0,7.71,0,Stable stream with no material anomaly indicators
124,1,1,2.35,0.0235,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.7,0.0,7.9,0,Stable stream with no material anomaly indicators
125,1,1,2.26,0.0226,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.53,0.0,7.61,0,Stable stream with no material anomaly indicators
126,1,1,3.03,0.0303,NORMAL,NORMAL,NORMAL,0.93,NORMAL,False,,0.0,6.07,0.0,10.2,0,Stable stream with no material anomaly indicators
127,1,1,2.83,0.0283,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.66,0.0,9.52,0,Stable stream with no material anomaly indicators
128,1,1,2.54,0.0254,NORMAL,NORMAL,NORMAL,0.94,NORMAL,False,,0.0,5.08,0.0,8.54,0,Stable stream with no material anomaly indicators
129,1,1,2.43,0.0243,NORMAL,NORMAL,NORMAL,0.95,NORMAL,False,,0.0,4.86,0.0,8.16,0,Stable stream with no material anomaly indicators
130,1,1,51.5,0.515,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_SMOOTH_27;PHYS_CIMB_30,10.0,100.0,65.62,65.62,0,Sustained physical disturbance without cyber indicators
131,1,1,51.5,0.515,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_SMOOTH_27;PHYS_VIMB_29;PHYS_CIMB_30,10.0,100.0,71.69,71.69,0,Sustained physical disturbance without cyber indicators
132,1,1,51.5,0.515,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_SMOOTH_27;PHYS_VIMB_29;PHYS_CIMB_30,10.0,100.0,74.39,74.39,0,Sustained physical disturbance without cyber indicators
133,1,1,51.5,0.515,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_SMOOTH_27;PHYS_VIMB_29;PHYS_CIMB_30,10.0,100.0,75.12,75.12,0,Sustained physical disturbance without cyber indicators
134,1,1,51.5,0.515,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_SMOOTH_27;PHYS_VOLTAGE_DRIFT_46;PHYS_CURRENT_DRIFT_47;PHYS_VIMB_29;PHYS_CIMB_30,10.0,100.0,74.84,74.84,0,Sustained physical disturbance without cyber indicators
135,1,1,51.5,0.515,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_VOLTAGE_DRIFT_46;PHYS_CURRENT_DRIFT_47;PHYS_VIMB_29;PHYS_CIMB_30,10.0,100.0,64.51,64.51,0,Sustained physical disturbance without cyber indicators
136,1,1,51.5,0.515,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_VOLTAGE_DRIFT_46;PHYS_CURRENT_DRIFT_47;PHYS_VIMB_29;PHYS_CIMB_30,10.0,100.0,64.97,64.97,0,Sustained physical disturbance without cyber indicators
137,1,1,51.5,0.515,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_VOLTAGE_DRIFT_46;PHYS_CURRENT_DRIFT_47;PHYS_VIMB_29;PHYS_CIMB_30,10.0,100.0,64.45,64.45,0,Sustained physical disturbance without cyber indicators
138,1,1,51.5,0.515,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_VOLTAGE_DRIFT_46;PHYS_CURRENT_DRIFT_47;PHYS_VIMB_29;PHYS_CIMB_30,10.0,100.0,62.8,62.8,0,Sustained physical disturbance without cyber indicators
139,1,1,42.5,0.425,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_VOLTAGE_DRIFT_46;PHYS_CURRENT_DRIFT_47;PHYS_VIMB_29;PHYS_CIMB_30,10.0,82,59.95,59.95,0,Sustained physical disturbance without cyber indicators
140,1,1,42.5,0.425,CRITICAL,FAULT,HIGH,0.99,HIGHLY SUSPICIOUS,False,PHYS_VOLTAGE_DRIFT_46;PHYS_CURRENT_DRIFT_47;PHYS_VIMB_29;PHYS_CIMB_30,10.0,82,56.14,56.14,0,Sustained physical disturbance without cyber indicators
141,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.89,SUSPICIOUS,False,PHYS_VOLTAGE_DRIFT_46;PHYS_VIMB_29;PHYS_CIMB_30,10.0,52,49.25,49.25,0,Sustained physical disturbance without cyber indicators
142,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.75,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,28.74,33.81,33.81,0,Sustained physical disturbance without cyber indicators
143,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.71,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,22.94,26.99,26.99,0,Sustained physical disturbance without cyber indicators
144,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.71,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,22.75,26.76,26.76,0,Sustained physical disturbance without cyber indicators
145,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.71,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,22.97,27.02,27.02,0,Sustained physical disturbance without cyber indicators
146,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.73,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,24.8,29.18,29.18,0,Sustained physical disturbance without cyber indicators
147,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.72,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,24.45,28.76,28.76,0,Sustained physical disturbance without cyber indicators
148,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.72,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,23.38,27.5,27.5,0,Sustained physical disturbance without cyber indicators
149,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.72,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,23.16,27.25,27.25,0,Sustained physical disturbance without cyber indicators
150,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.72,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,23.21,27.31,27.31,0,Sustained physical disturbance without cyber indicators
151,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.72,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,23.3,27.41,27.41,0,Sustained physical disturbance without cyber indicators
152,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.72,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,23.34,27.46,27.46,0,Sustained physical disturbance without cyber indicators
153,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.71,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,22.98,27.04,27.04,0,Sustained physical disturbance without cyber indicators
154,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.71,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,22.7,26.7,26.7,0,Sustained physical disturbance without cyber indicators
155,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.71,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,22.51,26.48,26.48,0,Sustained physical disturbance without cyber indicators
156,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.71,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,22.73,26.74,26.74,0,Sustained physical disturbance without cyber indicators
157,1,1,31.5,0.315,MEDIUM,FAULT,HIGH,0.71,SUSPICIOUS,False,PHYS_VIMB_29;PHYS_CIMB_30,10.0,22.89,26.93,26.93,0,Sustained physical disturbance without cyber indicators
